CODE,NAME,GROUPING,CATEGORY,PRICE,COMMENT,URL
18,Neymar hopes his side still can win the world cup,A,2,0,"Rio de Janeiro: Brazilian legend Pele hopes that five-time champions Brazil will win the FIFA World Cup without star striker Neymar, who has been ruled out of the tournament with a fractured vertebrae during the quarterfinal against Colombia. (World Cup Dream 'Stolen': Neymar) Pele on social networking site Twitter compared Neymar's injury to his own during the 1962 World Cup in Chile. Pele was injured in the second group match against Czechoslovakia and was ruled out of the tournament but still Brazil won and defended the title, reports EFE. (Neymar Injured in Quarterfinal) ""I was also injured during the 1962 World Cup in Chile, and I was out for the rest of the tournament,"" Pele tweeted. ""God helped Brazil continue on to win the championship. I hope the same will happen with our Selecao in this World Cup,"" he explained. In remarks to Folha de Sao Paulo newspaper, the Brazilian legend believed that Neymar's absence may be in favour of the Samba team that will be forced to search for """,/media/images/neymar_1.jpg
19,サイトのbackgroundイメージが変わる,A,3,0,サイトのbackgroundイメージがこの画像になる,/media/images/whole_bg.jpg
17,Injured Neymar out of World Cup,A,2,0,"BELO HORIZONTE, Brazil –  Even without Neymar, Brazil's show must go on.  The World Cup hosts, now forced to play without their injured superstar, will face Germany on Tuesday for a spot in next weekend's final.  Neymar fractured a vertebra in his lower back in Brazil's quarterfinal win over Colombia, ruling him out for the rest of the tournament. But despite having to stay off the field, the 22-year-old striker with the dyed-blonde fauxhawk is still expecting Brazil to win its sixth World Cup title.  ""I won't be able to fulfill the dream of playing in a World Cup final,"" Neymar said, ""but I'm sure they will win this one, they will become champions, and I will be there with them, and all of Brazil will be celebrating together.""  Along with Lionel Messi and Cristiano Ronaldo, Neymar was among the biggest stars at the World Cup. And in Brazil, the man in the yellow No. 10 jersey is something of a megastar, with his face plastered on billboards around the country and constantly shown.",/media/images/neymar.jpg
14,A Creative Algeria Surprises but Cannot Defeat Germany,A,2,0,"Sofiane Feghouli then sliced through the Germany back line only to miscue his cross from a brilliant position, Slimani's diving header was correctly disallowed for offside and Ghoulam steamed through on the left but lashed his finish across goal and wide. Germany eventually managed to exert an influence - Ozil's misdirected cross was tipped over the bar, Muller headed wide and keeper Rais Mbolhi spilled an Ozil drive - but Algeria refused to sit back and Mehdi Mostefa was the latest to come close with a strike that was deflected wide. Mbolhi made a magnificent double save from Toni Kroos and Mario Gotze as Germany finished the half well, but it was no surprise when Gotze was replaced by Schurrle at the break. The big question was whether Algeria would maintain their intensity or be punished for their missed chances and the answer nearly arrived when Schurrle's effort was deflected narrowly off target, before Shkodran Mustafi headed at Mbolhi and the goalkeeper pulled off a fine save.",/media/images/germanycup-master675.jpg
15,Cleveland Cavaliers select Andrew Wiggins with No. 1 overall pick in 2014 NBA draft,A,1,0,"NEW YORK — The hype has surrounded him for years. ""The Canadian LeBron,"" ""Maple Jordan,"" an Internet sensation out of Toronto, routed through Huntington, W.Va., delivered via YouTube. And now, after a one-year stopover in Lawrence, Kan., he's arrived. Andrew Wiggins is here, and on Thursday night in Brooklyn, the Cleveland Cavaliers made him the No. 1 pick in the 2014 NBA draft.  ""A thousand thoughts going through my head right now,"" Wiggins told reporters after his selection. ""It's a dream come true. I've been dreaming of this moment since I was a little kid. My dream was just to make the NBA; going to high school and college, the possibility of going No. 1 came into talk, and I accomplished it.",/media/images/wiggins.jpg
16,headerのバックグラウンドイメージ,A,3,0,headerのバックグラウンドイメージがこの画像になる,/media/images/background.jpg
11,France,A,2,0,"The France national football team (French: Équipe de France de football) represents France in international football. It is fielded by the French Football Federation (French: Fédération Française de Football), the governing body of football in France, and competes as a member of UEFA, which encompasses the countries of Europe. The national team's traditional colours are blue, white and red, the colors of the national flag of France, known as the drapeau tricolore, and the coq gaulois is the symbol of the team. France is colloquially known as Les Bleus (The Blues), which is the name associated with all of the country's sporting national teams, due to the blue shirts each team incorporates.  France played its first official match in 1904, and today primarily plays its home matches at the Stade de France in Saint-Denis, a suburb of Paris. The national team has won one FIFA World Cup title, two UEFA European Football Championships, an Olympic tournament, and two FIFA Confederations Cups.",/media/images/france.jpg
12,Gerrard retires,A,2,0,"""For Steven, he probably looks at it as though this is his last international year and after the World Cup, that will be all finished and he will have time to rest.  ""He and Roy have a good relationship and I'm sure if he needs a breather in these two games, he will get it.""  Should Gerrard appear in both England's November friendlies, he would overtake Bobby Moore and be behind only Peter Shilton and David Beckham in the all-time Three Lions appearances list.",/media/images/gerrard.jpg
13,LeBron did triple double,A,1,0,"The Heat were in the mix for James again this time around. Team president Pat Riley traveled to Las Vegas to meet with James on Wednesday in an attempt to lure him back to Miami after the All-Star opted out of his contract following the team's NBA Finals loss to the San Antonio Spurs.  But James said no to Riley and the Heat, instead choosing a Cleveland team that picked him No. 1 overall in the 2003 draft out of St. Vincent-St. Mary, where he starred as a high school player in his native Akron, Ohio.  ""Before anyone ever cared where I would play basketball, I was a kid from Northeast Ohio. It's where I walked,"" James told SI.com. ""It's where I ran. It's where I cried. It's where I bled. It holds a special place in my heart. People there have seen me grow up. I sometimes feel like I'm their son. Their passion can be overwhelming. But it drives me. I want to give them hope when I can. I want to inspire them when I can.""",/media/images/lebron.jpg
10,Suarez banned for 9 international games,A,2,0,"The FIFA Disciplinary Committee has reached a decision in the case related to Luis Suárez of Uruguay following an incident that occurred during the FIFA World Cup™ match between Italy and Uruguay played on 24 June 2014.  The FIFA Disciplinary Committee has decided that:  · The player Luis Suárez is regarded as having breached art. 48 par. 1 lit. d of the FIFA Disciplinary Code (FDC) (assault), and art. 57 of the FDC (an act of unsporting behaviour towards another player).  · The player Luis Suárez is to be suspended for nine (9) official matches. The first match of this suspension is to be served in the upcoming FIFA World Cup™ fixture between Colombia and Uruguay on 28 June 2014. The remaining match suspensions shall be served in Uruguay’s next FIFA World Cup match(es), as long as the team qualifies, and/or in the representative team’s subsequent official matches in accordance with art. 38 par. 2a) of the FDC.",/media/images/suarez.jpg
